Run_ID,Time,Instancia,Dataset,Accuracy,Kappa,KappaM,GMean,Latencia_ms,Drifts,RAM_MB,VRAM_MB
soft_reset_abc_cnn_rl1_adwin,22:33:53,2000,outdoor,0.8185,0.8132038625118677,0.8099476439790576,0.7963027686909812,36.575687972832384,19,991.51171875,25.82861328125
soft_reset_abc_cnn_rl1_adwin,22:35:09,4000,outdoor,0.84625,0.8423076923076922,0.8423076923076922,0.8443540780240716,35.096708678964205,28,991.63671875,25.82861328125
