Run_ID,Time,Instancia,Dataset,Accuracy,Kappa,GMean,Latencia_ms,Drifts,RAM_MB,VRAM_MB
85b9c0dd,00:56:01,2000,electricity,0.9195,0.8319022401897729,0.9162823250599887,39.74640206742697,4,932.5390625,43.48876953125
85b9c0dd,00:57:27,4000,electricity,0.92125,0.8355042421628216,0.9169577422929197,43.02504352401229,80,935.9921875,61.21923828125
85b9c0dd,00:58:54,6000,electricity,0.9213333333333333,0.8348974545291733,0.916105036753837,43.18665416906515,138,936.890625,65.10009765625
85b9c0dd,01:00:23,8000,electricity,0.917125,0.8289316562615142,0.9136213703630368,44.674129434479255,189,937.1015625,65.21923828125
85b9c0dd,01:01:48,10000,electricity,0.9222,0.8414257755023532,0.9201914316276181,42.3356845774797,235,938.0234375,66.74072265625
85b9c0dd,01:03:16,12000,electricity,0.9189166666666667,0.8351743475947709,0.9170310144625085,44.35204777332547,305,938.8828125,66.02294921875
85b9c0dd,01:04:45,14000,electricity,0.9149285714285714,0.8277794673215,0.9133910504966494,44.24926455853711,363,938.9609375,67.90087890625
85b9c0dd,01:06:18,16000,electricity,0.91,0.817528240395519,0.9081620863344978,46.336930032954115,427,939.05078125,67.47607421875
85b9c0dd,01:07:56,18000,electricity,0.9016666666666666,0.7998023333949174,0.8987358195221195,49.26710975994138,469,939.15234375,67.98095703125
85b9c0dd,01:09:26,20000,electricity,0.9032,0.8027994653094924,0.9000831761756225,44.78076929037343,517,939.234375,67.98095703125
85b9c0dd,01:11:02,22000,electricity,0.9007272727272727,0.7969384018085262,0.8970298329600711,47.867332572088344,610,939.3203125,67.98095703125
85b9c0dd,01:12:37,24000,electricity,0.8979583333333333,0.7911311951530156,0.8942223502445144,47.646837138428964,657,939.3984375,67.98095703125
85b9c0dd,01:14:08,26000,electricity,0.8976153846153846,0.7902665039643182,0.8938299669769064,45.36922967350256,690,939.484375,67.98095703125
85b9c0dd,01:15:36,28000,electricity,0.8981785714285714,0.791252397022774,0.8942877158298794,44.17482132540681,790,939.57421875,67.55615234375
85b9c0dd,01:17:06,30000,electricity,0.8972333333333333,0.7889996128762278,0.8931742794736265,44.98453873446488,834,939.6484375,67.98095703125
85b9c0dd,01:18:38,32000,electricity,0.8944375,0.7830662975973417,0.890234233120751,45.69683053420522,866,939.71875,67.98095703125
85b9c0dd,01:20:10,34000,electricity,0.8927647058823529,0.7796479494352516,0.8885968363247774,46.329846351593005,914,939.80078125,67.98095703125
85b9c0dd,01:21:47,36000,electricity,0.8920833333333333,0.7777736621221312,0.8876389314745691,48.16582527645005,944,939.8828125,67.80224609375
85b9c0dd,01:23:42,38000,electricity,0.8916052631578948,0.7762188097084751,0.8868928103867356,57.78773340737462,1008,940.08203125,67.98095703125
85b9c0dd,01:25:37,40000,electricity,0.89105,0.7759089007462573,0.886964844393948,57.3482261778081,1036,940.15625,67.55615234375
85b9c0dd,01:27:32,42000,electricity,0.8915,0.777570446170995,0.8879490027282252,57.39416258183337,1060,940.2265625,67.98095703125
85b9c0dd,01:29:27,44000,electricity,0.8907954545454545,0.7760779121261349,0.88720736361868,57.40380799193372,1119,940.60546875,67.98095703125
85b9c0dd,01:30:41,45312,electricity,0.8911325918079096,0.7768822986135425,0.8876458342177492,57.563390139097464,1138,940.65234375,67.98095703125
