dataset,method,config,accuracy,kappa_m,n_instances,filename
led_g,HeteroBagging,abc_adwin_dir,0.731446,0.701334,1000000,HeteroBagging_led_g_abc_adwin_dir_s123456789_20260418_203205.csv
led_g,HeteroBagging,abc_nodrift,0.732508,0.702515,1000000,HeteroBagging_led_g_abc_nodrift_s123456789_20260418_203306.csv
outdoor,HeteroBagging,abc_adwin_dir,0.560750,0.549487,4000,HeteroBagging_outdoor_abc_adwin_dir_s123456789_20260417_222322.csv
outdoor,HeteroBagging,abc_nodrift,0.573500,0.562564,4000,HeteroBagging_outdoor_abc_nodrift_s123456789_20260417_222322.csv
outdoor,HeteroBagging,abc_proj_adwin_dir,0.550250,0.538718,4000,HeteroBagging_outdoor_abc_proj_adwin_dir_s123456789_20260418_010629.csv
outdoor,HeteroBagging,abc_proj_nodrift,0.568250,0.557179,4000,HeteroBagging_outdoor_abc_proj_nodrift_s123456789_20260418_011946.csv
outdoor,HeteroBagging,heterogeneous_adwin_dir,0.886750,0.883846,4000,HeteroBagging_outdoor_heterogeneous_adwin_dir_s123456789_20260417_233208.csv
outdoor,HeteroBagging,heterogeneous_nodrift,0.886750,0.883846,4000,HeteroBagging_outdoor_heterogeneous_nodrift_s123456789_20260417_233526.csv
ozone,HeteroBagging,abc_adwin_dir,0.938043,0.018750,2534,HeteroBagging_ozone_abc_adwin_dir_s123456789_20260417_222120.csv
ozone,HeteroBagging,abc_nodrift,0.937648,0.012500,2534,HeteroBagging_ozone_abc_nodrift_s123456789_20260417_222121.csv
ozone,HeteroBagging,abc_proj_adwin_dir,0.940410,0.056250,2534,HeteroBagging_ozone_abc_proj_adwin_dir_s123456789_20260417_224057.csv
ozone,HeteroBagging,abc_proj_nodrift,0.940805,0.062500,2534,HeteroBagging_ozone_abc_proj_nodrift_s123456789_20260417_224153.csv
ozone,HeteroBagging,heterogeneous_adwin_dir,0.936464,-0.006250,2534,HeteroBagging_ozone_heterogeneous_adwin_dir_s123456789_20260417_223628.csv
ozone,HeteroBagging,heterogeneous_nodrift,0.936464,-0.006250,2534,HeteroBagging_ozone_heterogeneous_nodrift_s123456789_20260417_223829.csv
rialto,HeteroBagging,abc_adwin_dir,0.644474,0.604971,82250,HeteroBagging_rialto_abc_adwin_dir_s123456789_20260417_231027.csv
rialto,HeteroBagging,abc_nodrift,0.756377,0.729308,82250,HeteroBagging_rialto_abc_nodrift_s123456789_20260417_231028.csv
sea_a,HeteroBagging,abc_adwin_dir,0.893938,0.735437,1000000,HeteroBagging_sea_a_abc_adwin_dir_s123456789_20260418_080143.csv
sea_a,HeteroBagging,abc_nodrift,0.895476,0.739273,1000000,HeteroBagging_sea_a_abc_nodrift_s123456789_20260418_080144.csv
sea_g,HeteroBagging,abc_adwin_dir,0.890070,0.725792,1000000,HeteroBagging_sea_g_abc_adwin_dir_s123456789_20260418_080144.csv
sea_g,HeteroBagging,abc_nodrift,0.891484,0.729319,1000000,HeteroBagging_sea_g_abc_nodrift_s123456789_20260418_080145.csv
shuttle,HeteroBagging,abc_adwin_dir,0.992431,0.964634,57999,HeteroBagging_shuttle_abc_adwin_dir_s123456789_20260417_223125.csv
shuttle,HeteroBagging,abc_nodrift,0.992431,0.964634,57999,HeteroBagging_shuttle_abc_nodrift_s123456789_20260417_223126.csv
shuttle,HeteroBagging,abc_proj_adwin_dir,0.992190,0.963506,57999,HeteroBagging_shuttle_abc_proj_adwin_dir_s123456789_20260418_045508.csv
shuttle,HeteroBagging,abc_proj_nodrift,0.992155,0.963345,57999,HeteroBagging_shuttle_abc_proj_nodrift_s123456789_20260418_062645.csv
shuttle,HeteroBagging,heterogeneous_adwin_dir,0.992138,0.963264,57999,HeteroBagging_shuttle_heterogeneous_adwin_dir_s123456789_20260418_033112.csv
shuttle,HeteroBagging,heterogeneous_nodrift,0.992121,0.963184,57999,HeteroBagging_shuttle_heterogeneous_nodrift_s123456789_20260418_040525.csv
