dataset,method,config,accuracy,kappa_m,n_instances,filename
mixed_g,NeuralARTE,abc_cnn_nodrift,0.894201,0.788402,1000000,NeuralARTE_mixed_g_abc_cnn_nodrift_s123456789_20260419_065331.csv
outdoor,NeuralARTE,abc_adwin_dir,0.833250,0.828974,4000,NeuralARTE_outdoor_abc_adwin_dir_s123456789_20260405_172248.csv
outdoor,NeuralARTE,abc_cnn_adwin_dir,0.820000,0.815385,4000,NeuralARTE_outdoor_abc_cnn_adwin_dir_s123456789_20260406_000525.csv
outdoor,NeuralARTE,abc_cnn_nodrift,0.847000,0.843077,4000,NeuralARTE_outdoor_abc_cnn_nodrift_s123456789_20260417_222259.csv
outdoor,NeuralARTE,abc_nodrift,0.854000,0.850256,4000,NeuralARTE_outdoor_abc_nodrift_s123456789_20260406_084121.csv
outdoor,NeuralARTE,abc_proj_adwin_dir,0.841000,0.836923,4000,NeuralARTE_outdoor_abc_proj_adwin_dir_s123456789_20260405_172249.csv
outdoor,NeuralARTE,abc_proj_nodrift,0.859750,0.856154,4000,NeuralARTE_outdoor_abc_proj_nodrift_s123456789_20260406_152745.csv
outdoor,NeuralARTE,current_adwin_dir,0.838250,0.834103,4000,NeuralARTE_outdoor_current_adwin_dir_s123456789_20260405_192505.csv
outdoor,NeuralARTE,current_nodrift,0.853750,0.850000,4000,NeuralARTE_outdoor_current_nodrift_s123456789_20260406_084121.csv
ozone,NeuralARTE,abc_adwin_dir,0.933702,-0.050000,2534,NeuralARTE_ozone_abc_adwin_dir_s123456789_20260405_172247.csv
ozone,NeuralARTE,abc_cnn_adwin_dir,0.931334,-0.087500,2534,NeuralARTE_ozone_abc_cnn_adwin_dir_s123456789_20260406_000524.csv
ozone,NeuralARTE,abc_cnn_nodrift,0.932912,-0.062500,2534,NeuralARTE_ozone_abc_cnn_nodrift_s123456789_20260417_222158.csv
ozone,NeuralARTE,abc_nodrift,0.937253,0.006250,2534,NeuralARTE_ozone_abc_nodrift_s123456789_20260406_084120.csv
ozone,NeuralARTE,abc_proj_adwin_dir,0.926993,-0.156250,2534,NeuralARTE_ozone_abc_proj_adwin_dir_s123456789_20260405_172250.csv
ozone,NeuralARTE,abc_proj_nodrift,0.921073,-0.250000,2534,NeuralARTE_ozone_abc_proj_nodrift_s123456789_20260406_152744.csv
ozone,NeuralARTE,current_adwin_dir,0.931728,-0.081250,2534,NeuralARTE_ozone_current_adwin_dir_s123456789_20260405_192504.csv
ozone,NeuralARTE,current_nodrift,0.932912,-0.062500,2534,NeuralARTE_ozone_current_nodrift_s123456789_20260406_084120.csv
