Run_ID,Time,Instancia,Dataset,Accuracy,Kappa,Kappa_M,GMean,Latencia_ms,Drifts,RAM_MB,T_Pred,T_Learn
f99d7b4b,22:33:26,2000,led_a,0.698,0.6641857742088558,0.6568181818181817,0.6923193518823517,19.255059230104962,44,602.1484375,0.0028584319952642545,0.01243922999856295
f99d7b4b,22:34:05,4000,led_a,0.7155,0.6838233920262788,0.6797974113674733,0.7120059246327568,18.51774140557245,71,615.3984375,0.002162456999940332,0.014770943998883013
f99d7b4b,22:34:41,6000,led_a,0.7186666666666667,0.6873489107746024,0.6850746268656717,0.7170943434901182,16.797212266541464,82,627.0234375,0.0014799010023125447,0.012343380993115716
f99d7b4b,22:35:14,8000,led_a,0.721,0.6899318065299499,0.6879194630872483,0.7196634949069143,15.53797766104617,90,636.8984375,0.0011449520025053062,0.014951596996979788
f99d7b4b,22:35:41,10000,led_a,0.7248,0.6941760224133414,0.6925139664804469,0.7234750852519319,12.511470042114524,91,645.1484375,0.0015494210019824095,0.011113720000139438
f99d7b4b,22:36:09,12000,led_a,0.72775,0.697469280059611,0.6954414095273609,0.7262353654613981,14.208236321086588,92,652.0234375,0.0013062770012766123,0.015000166000390891
f99d7b4b,22:36:42,14000,led_a,0.7285714285714285,0.6983749474041314,0.6966310075043908,0.7270038060690432,15.216721771441371,92,660.1484375,0.001214201001857873,0.012167385000793729
f99d7b4b,22:37:15,16000,led_a,0.72975,0.6996998639386546,0.6985919420047401,0.728350849464624,15.37055085897373,92,666.5234375,0.0013956160037196241,0.014751994000107516
f99d7b4b,22:37:49,18000,led_a,0.7309444444444444,0.7010240056418506,0.6998450573287883,0.7293693659017447,15.534012391595752,92,674.2734375,0.0011249029994360171,0.012703657004749402
f99d7b4b,22:38:22,20000,led_a,0.73335,0.7036978818262757,0.7028803833082622,0.7319352856683269,15.608478310965438,92,681.7734375,0.0012317220025579445,0.012578493006003555
f99d7b4b,22:38:57,22000,led_a,0.7345,0.7049879374200031,0.7041932543299909,0.7330994501542067,15.86827209412877,92,689.1484375,0.0013705250021303073,0.009231459996954072
f99d7b4b,22:39:30,24000,led_a,0.7334166666666667,0.7037870979257377,0.7029712163416899,0.7319860045924897,15.485376167416689,92,697.6484375,0.0011823969980468974,0.011736321001080796
f99d7b4b,22:40:03,26000,led_a,0.7316923076923076,0.7018656919407071,0.7012035807598406,0.7300956994804463,15.129754688518005,92,705.7734375,0.0014269079983932897,0.011080025004048366
f99d7b4b,22:40:35,28000,led_a,0.7322857142857143,0.7025307247347494,0.7015091785131208,0.730454366422759,14.79111894327798,93,710.8984375,0.0012825160010834225,0.013329394001630135
f99d7b4b,22:41:04,30000,led_a,0.7331,0.7034418014152647,0.7025299996284875,0.7312302897059574,13.70335961085948,93,718.5234375,0.0011057960000471212,0.010898903004999738
f99d7b4b,22:41:36,32000,led_a,0.73271875,0.7030168706580495,0.7023179729917861,0.7307520497098859,14.63140736798232,93,725.1484375,0.0015231629949994385,0.014162477003992535
f99d7b4b,22:42:11,34000,led_a,0.7326470588235294,0.7029388220237662,0.7022600720602686,0.730633427352379,16.305989110976952,93,732.5234375,0.004285284994693939,0.03244694699969841
f99d7b4b,22:42:49,36000,led_a,0.7326388888888888,0.7029327112884339,0.7021414866621278,0.7307551313736059,17.527337828538293,93,739.3984375,0.0019165100020472892,0.02264778000244405
f99d7b4b,22:43:25,38000,led_a,0.7328947368421053,0.7032141993013498,0.7024507504690432,0.7310510879146956,16.756506627458293,93,745.8984375,0.0012241189979249611,0.00933411400183104
