Run_ID,Time,Instancia,Dataset,Accuracy,Kappa,Kappa_M,GMean,Latencia_ms,Drifts,RAM_MB,T_Pred,T_Learn
2739550f,00:07:21,2000,mixed_a,0.9215,0.8426112497869738,0.8367983367983368,0.9207247841135531,3.5106646907515824,0,283.37109375,0.000374780036509037,0.002401534467935562
2739550f,00:07:28,4000,mixed_a,0.9455,0.8907227636513836,0.8861024033437827,0.9449975898394872,3.5733657963573933,0,290.84765625,0.0003817528486251831,0.004058368504047394
2739550f,00:07:35,6000,mixed_a,0.9571666666666667,0.9140390603833792,0.9095707248416609,0.9566845634222926,3.606177744921297,0,297.03515625,0.0006600217893719673,0.003064120188355446
2739550f,00:07:43,8000,mixed_a,0.963,0.9258005518834627,0.9222689075630252,0.96270470446643,3.760575967375189,0,302.96484375,0.0008186381310224533,0.005999723449349403
2739550f,00:07:50,10000,mixed_a,0.967,0.933812026154278,0.9305263157894736,0.9667336110256625,3.8166566411964595,0,308.63671875,0.0007432373240590096,0.004785596393048763
2739550f,00:07:58,12000,mixed_a,0.9703333333333334,0.9404692361957747,0.9372355430183358,0.9700688428391538,3.830233525019139,0,314.05078125,0.0006191162392497063,0.004909665323793888
2739550f,00:08:06,14000,mixed_a,0.9732142857142857,0.9462208301782886,0.9430437424058323,0.9729432942529519,3.9203570494428277,0,318.69140625,0.0004280703142285347,0.0026237191632390022
2739550f,00:08:14,16000,mixed_a,0.9748125,0.9494384515870821,0.9465304497810799,0.9745472934133543,3.870811407919973,0,323.84765625,0.000596705824136734,0.00475358497351408
2739550f,00:08:22,18000,mixed_a,0.9766111111111111,0.9530338252398677,0.9501951969714894,0.9763567179381428,3.997585641220212,0,328.23046875,0.0007749060168862343,0.003912423737347126
2739550f,00:08:30,20000,mixed_a,0.978,0.9558023836176311,0.95295124037639,0.9777641678048362,3.9715638235211372,0,332.61328125,0.00040998589247465134,0.004401027224957943
2739550f,00:08:37,22000,mixed_a,0.9794090909090909,0.9586273190413068,0.95591669910471,0.9791719993191113,3.905174268875271,0,336.48046875,0.000386030413210392,0.0025097662582993507
2739550f,00:08:46,24000,mixed_a,0.9805,0.9608108768294861,0.9581806809042982,0.9802639318814237,4.126321035902947,0,340.60546875,0.000968538224697113,0.006016924977302551
2739550f,00:08:54,26000,mixed_a,0.9813846153846154,0.9625892545351254,0.9600725952813067,0.9811691024423267,3.89737869752571,0,344.47265625,0.00039076898247003555,0.0024722861126065254
2739550f,00:09:01,28000,mixed_a,0.98225,0.9643503248388358,0.9621131270010671,0.9820596273496728,3.901856418699026,0,348.59765625,0.0009087566286325455,0.007398243062198162
2739550f,00:09:10,30000,mixed_a,0.9831,0.9660487430762539,0.9638451116023675,0.9829173260887124,4.14700330933556,0,352.20703125,0.0008197110146284103,0.00410101655870676
2739550f,00:09:18,32000,mixed_a,0.9835,0.9668586801041748,0.9647412353923206,0.9833488681575118,3.976978719700128,0,355.55859375,0.00042030494660139084,0.004529707133769989
2739550f,00:09:26,34000,mixed_a,0.9842941176470589,0.9684540305534217,0.9664383131167118,0.9841512884830093,4.082910395693034,0,358.91015625,0.0006848378106951714,0.0036638211458921432
