Run_ID,Time,Instancia,Dataset,Accuracy,Kappa,Kappa_M,GMean,Latencia_ms,Drifts,RAM_MB,T_Pred,T_Learn
b6488fb5,16:36:54,2000,rialto,0.7835,0.7594444444444444,0.7594444444444444,0.7589140033565989,28.516949340701103,9,505.4765625,0.007132388651371002,0.01914912648499012
b6488fb5,16:38:08,4000,rialto,0.8505,0.8338888888888889,0.8338888888888889,0.8438342190749553,37.06171910138801,149,828.43359375,0.007982375100255013,0.042273685336112976
b6488fb5,16:39:19,6000,rialto,0.7846666666666666,0.7607407407407407,0.7607407407407407,0.7710186346268889,35.651894870214164,202,1032.62109375,0.004086100496351719,0.0178312249481678
b6488fb5,16:40:31,8000,rialto,0.814875,0.7943055555555556,0.7943055555555556,0.805806504975548,36.11512221721932,311,1266.45703125,0.011336558498442173,0.049441185779869556
b6488fb5,16:41:57,10000,rialto,0.7981,0.7756666666666667,0.7756666666666667,0.787212766565762,42.841223657131195,404,1266.45703125,0.005484380759298801,0.018674267455935478
b6488fb5,16:43:21,12000,rialto,0.8105,0.7894444444444444,0.7894444444444444,0.8025221800239178,41.752075898461044,568,1266.45703125,0.007822966203093529,0.03394982125610113
b6488fb5,16:44:21,14000,rialto,0.8199285714285715,0.7999206349206349,0.7999206349206349,0.8116886884336189,29.944121579639614,581,1266.45703125,0.005198026075959206,0.018751381896436214
b6488fb5,16:45:34,16000,rialto,0.8245,0.805,0.805,0.8172954943748645,36.50335916504264,758,1266.45703125,0.005146398209035397,0.019047653302550316
b6488fb5,16:46:30,18000,rialto,0.8263888888888888,0.8070987654320987,0.8070987654320987,0.8194118402686452,28.245971196331084,767,1224.84375,0.004674162715673447,0.0163891538977623
b6488fb5,16:47:35,20000,rialto,0.8252,0.8057777777777778,0.8057777777777778,0.8185438233223847,32.34354513883591,878,1224.84375,0.004768777638673782,0.019208881072700024
b6488fb5,16:48:34,22000,rialto,0.8367727272727272,0.8186363636363636,0.8186363636363636,0.8307784643571601,29.501193668227643,895,1224.84375,0.008736775256693363,0.02494493220001459
b6488fb5,16:49:43,24000,rialto,0.8369583333333334,0.8188425925925926,0.8188425925925926,0.8313294942255613,34.439200622960925,1067,1224.84375,0.005073165521025658,0.019757877103984356
b6488fb5,16:50:45,26000,rialto,0.8459615384615384,0.8288461538461538,0.8288461538461538,0.8407661141887259,30.91683355998248,1079,1224.84375,0.0076168496161699295,0.02073378674685955
b6488fb5,16:52:00,28000,rialto,0.8359642857142857,0.8177380952380953,0.8177380952380953,0.830380230374507,37.7006232724525,1225,1224.84375,0.0033245841041207314,0.013590941205620766
b6488fb5,16:53:05,30000,rialto,0.8364666666666667,0.8182962962962963,0.8182962962962963,0.8309742743664392,32.47608930571005,1293,1224.84375,0.00940343365073204,0.02773290779441595
b6488fb5,16:54:27,32000,rialto,0.8320625,0.8134027777777778,0.8134027777777778,0.8266105648152313,40.6877089147456,1412,1224.84375,0.003992551006376743,0.01643549185246229
b6488fb5,16:55:24,34000,rialto,0.8373529411764706,0.8192810457516341,0.8192810457516341,0.8322363372586102,28.80008192267269,1511,1224.84375,0.008887636475265026,0.02963994350284338
b6488fb5,16:56:41,36000,rialto,0.8330555555555555,0.8145061728395062,0.8145061728395062,0.8275675102190587,38.42551774159074,1655,1224.84375,0.005948173813521862,0.019566227681934834
b6488fb5,16:57:50,38000,rialto,0.840421052631579,0.8226900584795321,0.8226900584795321,0.835432306767987,34.305506110191345,1718,1224.84375,0.00901360996067524,0.02514799404889345
b6488fb5,16:59:03,40000,rialto,0.8342,0.8157777777777778,0.8157777777777778,0.8287134059773321,36.50904112122953,1853,1224.84375,0.005676093511283398,0.015738422982394695
b6488fb5,17:00:05,42000,rialto,0.8416428571428571,0.824047619047619,0.824047619047619,0.8366759690910751,30.929072188213468,1879,1224.84375,0.02220084425061941,0.022587896324694157
b6488fb5,17:01:25,44000,rialto,0.8382272727272727,0.8202525252525252,0.8202525252525252,0.833118721291075,39.80321293277666,2059,1224.84375,0.00498345959931612,0.016914627514779568
b6488fb5,17:02:27,46000,rialto,0.8385434782608696,0.8206038647342996,0.8206038647342996,0.8333322603744601,31.286867436021566,2078,1224.84375,0.008380524814128876,0.019980753771960735
b6488fb5,17:03:36,48000,rialto,0.8386458333333333,0.8207175925925926,0.8207175925925926,0.8335657980481218,34.35010254988447,2253,1224.84375,0.010222886689007282,0.016860333271324635
b6488fb5,17:04:28,50000,rialto,0.84014,0.8223777777777778,0.8223777777777778,0.8350313604916358,26.150922604370862,2261,1224.84375,0.005315559916198254,0.014667808078229427
b6488fb5,17:05:36,52000,rialto,0.8449038461538462,0.8276709401709402,0.8276709401709402,0.8401897944660622,33.71971791330725,2374,1224.84375,0.011562196537852287,0.035903191193938255
b6488fb5,17:06:36,54000,rialto,0.8425555555555555,0.8250617283950616,0.8250617283950616,0.8377489060071331,29.872241384349763,2463,1224.84375,0.004117250442504883,0.011969887651503086
b6488fb5,17:07:49,56000,rialto,0.8415178571428571,0.8239087301587301,0.8239087301587301,0.8368852086349668,36.80059075448662,2621,1224.84375,0.00659618154168129,0.03004114143550396
b6488fb5,17:08:53,58000,rialto,0.8388620689655173,0.8209578544061303,0.8209578544061303,0.8339187228872372,31.813080944120884,2656,1224.84375,0.0065829455852508545,0.02165017742663622
b6488fb5,17:10:02,60000,rialto,0.8383333333333334,0.8203703703703704,0.8203703703703704,0.8334939381173072,34.34429973177612,2804,1224.84375,0.006139857694506645,0.02501324750483036
b6488fb5,17:10:59,62000,rialto,0.8354193548387097,0.8171326164874552,0.8171326164874552,0.8301826466589685,28.423281420953572,2810,1224.84375,0.004275203682482243,0.014191936701536179
b6488fb5,17:11:53,64000,rialto,0.83815625,0.8201736111111112,0.8201736111111112,0.8330369701822303,27.233260713983327,2913,1224.84375,0.005563502199947834,0.016294063068926334
b6488fb5,17:13:10,66000,rialto,0.8335151515151515,0.8150168350168351,0.8150168350168351,0.8281689916298144,38.314121092669666,3073,1224.84375,0.005576835945248604,0.028591600246727467
